collected_at,cpu_percent,cpu_cores_count,load_avg_1,load_avg_5,load_avg_15,memory_total,memory_used,memory_free,memory_percent,swap_used,swap_total,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
2026-06-20T04:33:08.320151,35.70,8,9.30,11.43,10.94,8589934592,3040673792,1284358144,85.00,11738939392,12884901888,2260160512,4657648640,45514934,139562167
2026-06-20T04:49:08.795094,44.90,8,13.02,12.34,11.32,8589934592,3086450688,1326989312,84.60,11766661120,12884901888,2260704256,4658654208,45517003,139564204
2026-06-20T04:55:38.366847,61.80,8,16.74,12.66,11.46,8589934592,3103113216,1316929536,84.70,11848515584,12884901888,2260988928,4659315712,45518175,139565378
2026-06-20T05:11:38.756120,50.40,8,9.76,11.25,11.00,8589934592,3018539008,1273233408,85.20,11746607104,12884901888,2261683200,4660948992,45520686,139568139
2026-06-20T05:27:39.259953,60.00,8,8.63,10.82,10.87,8589934592,3065020416,1319796736,84.60,11833245696,12884901888,2262310912,4662104064,45522938,139570473
2026-06-20T05:43:39.825147,85.10,8,6.74,9.90,10.52,8589934592,3098411008,1277607936,85.10,11825184768,12884901888,2262847488,4663682048,45525306,139572874
2026-06-20T05:59:40.365399,44.20,8,5.48,8.91,10.11,8589934592,3216211968,1453522944,83.10,11855986688,12884901888,2263772160,4665612288,45528341,139576133
2026-06-20T06:15:40.827016,30.00,8,17.83,11.50,10.97,8589934592,3014901760,1265123328,85.30,11789074432,12884901888,2264438784,4667062272,45530691,139578572
2026-06-20T06:31:41.343504,21.90,8,8.95,10.14,10.49,8589934592,3146268672,1378975744,83.90,11816599552,12884901888,2265122816,4668545024,45533198,139581231
2026-06-20T07:04:57.886251,36.30,8,7.74,9.87,10.39,8589934592,3088711680,1308262400,84.80,11873812480,12884901888,2266203136,4674599936,45537287,139587880
2026-06-20T07:20:58.487698,76.40,8,27.38,13.34,11.55,8589934592,3174252544,1387167744,83.90,11945771008,12884901888,2266520576,4675248128,45538380,139589034
2026-06-20T07:36:58.978742,30.60,8,17.88,13.60,11.80,8589934592,3082731520,1324843008,84.60,11911102464,12884901888,2267490304,4676996096,45541627,139592277
